date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:06	120982/120982	---M--	200	added ('OK')	image/jpeg	etag:%221542486161%22	https://i.ytimg.com/vi/XcLJ2ag7NEA/maxresdefault.jpg	C:/Users/Burak/Desktop/Gravity-Bot/i.ytimg.com/vi/XcLJ2ag7NEA/maxresdefault.jpg	(from https://gnargebot.glitch.me/)
03:17:06	37700/37700	---M--	200	added ('OK')	image/png	etag:%2218ebace8a0ae6fcc1b59ee9eb98444dc%22	https://cdn.discordapp.com/attachments/584735856989044776/586886192990126103/THUMNAIL.png	C:/Users/Burak/Desktop/Gravity-Bot/cdn.discordapp.com/attachments/584735856989044776/586886192990126103/THUMNAIL.png	(from https://gnargebot.glitch.me/)
03:17:07	2152/2152	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jun%202019%2000:17:56%20GMT	https://images.dmca.com/Badges/dmca_protected_sml_120m.png?ID=f3810491-3092-4c59-a300-4d4da75bc0e8	C:/Users/Burak/Desktop/Gravity-Bot/images.dmca.com/Badges/dmca_protected_sml_120m8a2b.png	(from https://gnargebot.glitch.me/)
03:17:07	852/852	---M--	200	added ('OK')	application/zip	date:Wed,%2012%20Jun%202019%2000:17:56%20GMT	https://images.dmca.com/Badges/DMCABadgeHelper.min.js	C:/Users/Burak/Desktop/Gravity-Bot/images.dmca.com/Badges/DMCABadgeHelper.min.zip	(from https://gnargebot.glitch.me/)
03:17:08	85577/85577	---M--	200	added ('OK')	application/javascript	etag:W/%2214e49-16b36de7c98%22	https://gnargebot.glitch.me/js/jquery-2.2.4.min.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/js/jquery-2.2.4.min.js	(from https://gnargebot.glitch.me/)
03:17:08	19235/19235	---M--	200	added ('OK')	application/javascript	etag:W/%224b23-16b42de89e8%22	https://gnargebot.glitch.me/js/popper.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/js/popper.js	(from https://gnargebot.glitch.me/)
03:17:09	51041/51041	---M--	200	added ('OK')	application/javascript	etag:W/%22c761-16b36de7c98%22	https://gnargebot.glitch.me/js/bootstrap.min.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/js/bootstrap.min.js	(from https://gnargebot.glitch.me/)
03:17:09	42766/42766	---M--	200	added ('OK')	application/javascript	etag:W/%22a70e-16b36de7c98%22	https://gnargebot.glitch.me/vendors/owl-carousel/owl.carousel.min.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/owl-carousel/owl.carousel.min.js	(from https://gnargebot.glitch.me/)
03:17:09	4820/4820	---M--	200	added ('OK')	application/javascript	etag:W/%2212d4-16b36de7c98%22	https://gnargebot.glitch.me/js/jquery.ajaxchimp.min.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/js/jquery.ajaxchimp.min.js	(from https://gnargebot.glitch.me/)
03:17:09	8044/8044	---M--	200	added ('OK')	application/javascript	etag:W/%221f6c-16b36de7c98%22	https://gnargebot.glitch.me/js/waypoints.min.js	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/js/waypoints.min.js	(from https://gnargebot.glitch.me/)
